GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
0500000US01001,01001,"Autauga County, Alabama",54680,,43372,102,9956,190,166,97,436,154,0,115,59,67,691,229,6,9,685,228
0500000US01003,01003,"Baldwin County, Alabama",183127,,158144,1066,17733,272,988,300,1194,267,11,18,2820,1064,2237,480,73,71,2164,487
0500000US01005,01005,"Barbour County, Alabama",27389,,13202,265,12493,335,44,35,196,282,0,115,679,400,775,362,79,131,696,343
0500000US01009,01009,"Blount County, Alabama",57468,,54907,461,918,178,230,235,32,48,0,115,562,385,819,198,20,32,799,192
0500000US01015,01015,"Calhoun County, Alabama",118195,,88353,551,24430,344,306,171,659,225,41,48,2118,524,2288,475,211,239,2077,434
0500000US01019,01019,"Cherokee County, Alabama",25969,,24020,132,1296,187,158,87,139,105,8,13,38,49,310,152,0,115,310,152
0500000US01021,01021,"Chilton County, Alabama",43700,,37935,476,4311,189,197,70,107,57,0,115,753,437,397,170,41,62,356,155
0500000US01025,01025,"Clarke County, Alabama",25836,,13985,113,11424,245,149,37,48,84,0,115,62,61,168,163,0,115,168,163
0500000US01031,01031,"Coffee County, Alabama",50044,,38680,292,8656,163,362,123,629,123,0,115,437,237,1280,234,42,55,1238,243
0500000US01033,01033,"Colbert County, Alabama",54476,,43856,357,8971,169,311,158,239,87,0,115,443,383,656,319,160,192,496,256
0500000US01039,01039,"Covington County, Alabama",37835,,32169,100,4917,188,227,100,9,13,0,115,42,74,471,196,75,112,396,168
0500000US01043,01043,"Cullman County, Alabama",80461,,77196,556,852,246,323,171,354,51,29,29,564,425,1143,307,159,194,984,243
0500000US01045,01045,"Dale County, Alabama",50080,,37644,475,9705,405,105,65,686,78,149,244,494,412,1297,293,58,61,1239,287
0500000US01049,01049,"DeKalb County, Alabama",71120,,64563,1829,1329,204,1064,448,38,39,10,17,2305,1820,1811,543,17,19,1794,542
0500000US01051,01051,"Elmore County, Alabama",79461,,60225,357,15979,303,300,85,473,129,0,115,1136,329,1348,333,77,70,1271,316
0500000US01053,01053,"Escambia County, Alabama",38213,,23632,184,12757,313,1372,130,135,143,26,37,22,35,269,161,19,23,250,155
0500000US01055,01055,"Etowah County, Alabama",104327,,85354,472,15844,358,319,112,707,101,74,127,602,488,1427,386,167,173,1260,325
0500000US01059,01059,"Franklin County, Alabama",31732,,27832,765,1406,146,183,102,0,115,0,115,2117,765,194,171,0,115,194,171
0500000US01061,01061,"Geneva County, Alabama",26754,,23350,166,2464,300,21,21,39,61,0,115,413,358,467,94,57,74,410,60
0500000US01069,01069,"Houston County, Alabama",101546,,71030,254,25970,310,284,97,908,71,5,7,1492,261,1857,343,87,57,1770,325
0500000US01071,01071,"Jackson County, Alabama",53309,,49048,161,1791,151,1234,193,200,43,27,41,116,110,893,275,75,67,818,267
0500000US01073,01073,"Jefferson County, Alabama",658586,,350226,1483,278170,649,1453,360,9785,325,33,51,14261,1505,4658,688,423,262,4235,632
0500000US01077,01077,"Lauderdale County, Alabama",92678,,80678,344,9461,251,457,184,701,57,0,115,429,298,952,275,22,37,930,281
0500000US01079,01079,"Lawrence County, Alabama",34253,,26495,234,3771,205,1909,369,73,33,0,115,294,226,1711,455,112,108,1599,442
0500000US01081,01081,"Lee County, Alabama",140939,,101060,526,32434,639,349,182,3870,148,30,41,972,435,2224,620,83,106,2141,626
0500000US01083,01083,"Limestone County, Alabama",83311,,67881,574,11066,169,430,191,955,133,6,10,1873,556,1100,297,135,98,965,289
0500000US01089,01089,"Madison County, Alabama",335703,,232522,1181,80500,934,2219,342,8127,447,287,82,2931,858,9117,1391,803,314,8314,1284
